customer_id,region,subscription_plan,contract_type,tenure_months,monthly_logins,customer_satisfaction_score,industry,company_size,years_in_business,monthly_subscription_fee_gbp,discount_percentage,employee_count,active_users,feature_usage_score,avg_session_duration_minutes,projects_created,integrations_enabled,support_tickets_last_6m,avg_resolution_time_hours,payment_failures_last_12m,email_open_rate,webinar_attendance_count,monthly_recurring_revenue,lifetime_value,signup_date,last_login_date,customer_segment,acquisition_channel,churn
CF06503,London,Professional,Annual,24,35.0,5.0,Finance,Small,3,29,29,27,16,42.0,124.0,51,15,1,50,4,9.0,0,29.93,718.32,2020-09-07,2020-09-08,Smb,Linkedin,No
CF00198,North West,Professional,Monthly,19,40.0,10.0,Logistics,Micro,15,29,9,9,4,92.0,138.0,18,18,3,13,1,91.0,3,30.23,574.37,2022-09-23,2022-11-23,Smb,Direct,No
CF07625,Wales,Enterprise,Annual,19,47.0,7.0,Healthcare,Medium,17,79,22,118,46,89.0,120.0,71,13,4,69,4,57.0,3,87.69,1666.11,2022-09-11,2022-12-08,Smb,Referral,No
CF05772,South East,Starter,Annual,10,38.0,6.0,Logistics,Small,24,79,34,42,17,85.0,88.0,110,5,4,16,3,91.0,0,89.5,895.0,2023-05-16,2023-09-18,Mid-Market,Referral,No
CF12869,North West,Starter,Monthly,5,43.0,4.0,Healthcare,Medium,22,79,1,76,23,65.0,84.0,15,11,0,49,0,42.0,0,77.06,385.3,2021-11-20,2022-05-01,Smb,Organic Search,Yes
CF05384,North East,Professional,Annual,8,43.0,6.0,Finance,Small,14,199,22,47,20,,56.0,29,14,4,58,4,89.0,10,208.92,1671.36,2021-10-23,2021-11-14,Smb,Referral,No
CF09852,West Midlands,Starter,Monthly,90,48.0,5.0,Technology,Micro,7,29,16,3,2,67.0,91.0,31,4,4,23,4,52.0,0,30.99,2789.1,2020-12-30,2021-09-17,Smb,Linkedin,No
CF04138,West Midlands,Enterprise,Monthly,2,45.0,2.0,Education,Small,1,29,12,27,7,35.0,12.0,79,14,0,39,4,48.0,10,25.81,51.62,2023-06-05,2023-10-10,Mid-Market,Partner,No
CF03323,West Midlands,Enterprise,Monthly,25,36.0,5.0,Healthcare,Micro,19,199,28,7,1,22.0,45.0,195,11,4,69,3,78.0,7,204.8,5120.0,2022-04-08,2023-03-26,Smb,Linkedin,Yes
CF05052,West Midlands,Enterprise,Annual,11,31.0,6.0,Retail,Micro,9,199,34,1,0,29.0,88.0,57,9,2,39,5,26.0,8,159.56,1755.16,2021-05-26,2022-03-13,Smb,Google Ads,No
