iter	Logloss
0	0.6184029803
1	0.5569708868
2	0.5051098599
3	0.4662679073
4	0.4334897736
5	0.4061970495
6	0.3834745149
7	0.3643076287
8	0.3487948321
9	0.334932419
10	0.3234113306
11	0.3123858209
12	0.3049291653
13	0.2983160921
14	0.2909721641
15	0.2856612877
16	0.2818452759
17	0.2785527121
18	0.2751878156
19	0.272132289
20	0.2712486021
21	0.2698500166
22	0.2682150112
23	0.2678980575
24	0.2660414392
25	0.2632766408
26	0.2623514499
27	0.260599126
28	0.2600165005
29	0.2594075248
30	0.2590447528
31	0.2582404102
32	0.2578021637
33	0.256619543
34	0.2562907048
35	0.2559295006
36	0.2553225268
37	0.2547576189
38	0.2543958154
39	0.2540392732
40	0.2534169875
41	0.2529378173
42	0.2525334316
43	0.2521808082
44	0.2510105306
45	0.2506422898
46	0.2503417043
47	0.2500376591
48	0.2494385924
49	0.2492044846
50	0.2489286087
51	0.248613625
52	0.2483316872
53	0.2480833269
54	0.2477110392
55	0.2473087232
56	0.2470565327
57	0.2466624831
58	0.2463632018
59	0.2461016757
60	0.2457978955
61	0.2453874044
62	0.2451099151
63	0.2446942867
64	0.2443837466
65	0.2440343438
66	0.2437571374
67	0.2436338967
68	0.2433481817
69	0.2431729834
70	0.242821165
71	0.2426246659
72	0.2424096027
73	0.2422010033
74	0.2419421678
75	0.2417540725
76	0.2416891247
77	0.2414200619
78	0.2410821128
79	0.240790516
80	0.2404883535
81	0.2401690031
82	0.2399240029
83	0.2396810386
84	0.239455093
85	0.2391643156
86	0.2389262657
87	0.238835342
88	0.2386741163
89	0.2384234657
90	0.2381480939
91	0.2378438509
92	0.2376214789
93	0.2374169009
94	0.2373021791
95	0.2372796141
96	0.2370022682
97	0.2368614125
98	0.2367505915
99	0.2366484628
