iter	Passed	Remaining
0	11	1187
1	23	1141
2	34	1114
3	45	1080
4	56	1065
5	67	1056
6	78	1046
7	90	1038
8	100	1020
9	110	998
10	121	985
11	131	967
12	141	946
13	151	931
14	162	919
15	172	906
16	183	895
17	194	885
18	205	874
19	216	864
20	226	850
21	235	836
22	246	824
23	256	810
24	266	798
25	277	789
26	287	777
27	297	765
28	307	752
29	317	739
30	326	727
31	336	714
32	346	704
33	356	692
34	366	681
35	376	669
36	386	657
37	395	645
38	405	633
39	415	623
40	425	612
41	434	600
42	444	588
43	453	576
44	464	567
45	476	559
46	487	550
47	499	540
48	510	531
49	522	522
50	533	512
51	543	501
52	555	492
53	565	481
54	575	470
55	586	460
56	596	449
57	606	439
58	615	428
59	625	417
60	635	406
61	645	395
62	655	385
63	665	374
64	675	363
65	685	353
66	696	343
67	706	332
68	715	321
69	725	311
70	735	300
71	745	289
72	754	279
73	764	268
74	774	258
75	784	247
76	795	237
77	804	226
78	814	216
79	824	206
80	835	196
81	845	185
82	855	175
83	865	164
84	874	154
85	884	143
86	893	133
87	902	123
88	911	112
89	921	102
90	930	92
91	940	81
92	950	71
93	959	61
94	968	50
95	977	40
96	988	30
97	997	20
98	1007	10
99	1016	0
